CANTON;J.29.1;F.16.1;Nuevos datos;I.25.1;I.25.2;I.25.3;I.25.4;I.25.5;I.25.6
PORTOVIEJO;2200;53;2;1;1;1;1;1;1
PORTOVIEJO;800;54;2;2;1;1;2;1;1
PORTOVIEJO;2500;48;2;1;1;1;1;1;1
PORTOVIEJO;1300;53;2;1;1;1;2;1;1
PORTOVIEJO;1500;52;2;1;1;1;1;1;1
PORTOVIEJO;600;53;2;2;1;1;2;2;1
PORTOVIEJO;700;53;2;1;1;1;2;1;1
PORTOVIEJO;800;53;2;1;1;1;1;1;1
PORTOVIEJO;1700;52;2;1;1;1;1;1;1
PORTOVIEJO;1500;48;2;1;1;1;2;1;1
PORTOVIEJO;800;48;2;1;1;1;1;1;1
PORTOVIEJO;1000;53;2;1;1;1;1;1;1
PORTOVIEJO;1100;53;2;1;1;1;2;1;1
PORTOVIEJO;1500;48;2;1;1;1;2;1;1
PORTOVIEJO;1100;52;2;2;1;1;2;1;1
PORTOVIEJO;800;48;2;2;1;1;2;1;1
PORTOVIEJO;2000;48;2;1;1;1;2;1;1
PORTOVIEJO;2500;53;2;1;1;1;1;1;1
PORTOVIEJO;2300;52;2;1;1;1;1;1;1
PORTOVIEJO;1000;53;2;1;1;1;2;1;1
